rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,3579,3579,11846,11846,8267,8267,snapshot_2026_08_03.json,snapshot_2026_07_04.json
2,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,3286,3286,4609,4609,1323,1323,snapshot_2026_08_03.json,snapshot_2026_07_04.json
3,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,3007,3007,6442,6442,3435,3435,snapshot_2026_08_03.json,snapshot_2026_07_04.json
4,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,2304,2304,2476,2476,172,172,snapshot_2026_08_03.json,snapshot_2026_07_04.json
5,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,1568,1568,3748,3748,2180,2180,snapshot_2026_08_03.json,snapshot_2026_07_04.json
6,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,1303,1303,3344,3344,2041,2041,snapshot_2026_08_03.json,snapshot_2026_07_04.json
7,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,1292,1292,2583,2583,1291,1291,snapshot_2026_08_03.json,snapshot_2026_07_04.json
8,mod,imb11-moveit,Move It!,IMB11,IMB11,https://github.com/IMB11,1151,1151,1151,1151,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
9,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,1117,1117,2955,2955,1838,1838,snapshot_2026_08_03.json,snapshot_2026_07_04.json
10,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1114,1114,4133,4133,3019,3019,snapshot_2026_08_03.json,snapshot_2026_07_04.json
11,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1048,1048,1566,1566,518,518,snapshot_2026_08_03.json,snapshot_2026_07_04.json
12,mod,missed-connections,Missed Connections,rslurry,slurry,https://github.com/rslurry,1042,1042,1042,1042,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
13,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1021,1021,2128,2128,1107,1107,snapshot_2026_08_03.json,snapshot_2026_07_04.json
14,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,970,970,970,970,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
15,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,937,937,1372,1372,435,435,snapshot_2026_08_03.json,snapshot_2026_07_04.json
16,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,896,896,1888,1888,992,992,snapshot_2026_08_03.json,snapshot_2026_07_04.json
17,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,860,860,2306,2306,1446,1446,snapshot_2026_08_03.json,snapshot_2026_07_04.json
18,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,825,825,1272,1272,447,447,snapshot_2026_08_03.json,snapshot_2026_07_04.json
19,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,822,822,2611,2611,1789,1789,snapshot_2026_08_03.json,snapshot_2026_07_04.json
20,mod,map-markers,Map Markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,784,784,784,784,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
21,map,paris-ile-de-france,Paris,pierreggt,pierreggt,https://github.com/pierreggt,764,764,764,764,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
22,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,753,753,1956,1956,1203,1203,snapshot_2026_08_03.json,snapshot_2026_07_04.json
23,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,731,731,2722,2722,1991,1991,snapshot_2026_08_03.json,snapshot_2026_07_04.json
24,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,691,691,1820,1820,1129,1129,snapshot_2026_08_03.json,snapshot_2026_07_04.json
25,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,688,688,3563,3563,2875,2875,snapshot_2026_08_03.json,snapshot_2026_07_04.json
26,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,679,679,3132,3132,2453,2453,snapshot_2026_08_03.json,snapshot_2026_07_04.json
27,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,615,615,1950,1950,1335,1335,snapshot_2026_08_03.json,snapshot_2026_07_04.json
28,map,montreal,Montreal,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,564,564,1914,1914,1350,1350,snapshot_2026_08_03.json,snapshot_2026_07_04.json
29,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,549,549,1292,1292,743,743,snapshot_2026_08_03.json,snapshot_2026_07_04.json
30,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,541,541,2117,2117,1576,1576,snapshot_2026_08_03.json,snapshot_2026_07_04.json
31,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,525,525,525,525,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
32,map,opo-pt-metropolitan,"Porto, Portugal",bquelhas,bquelhas,https://github.com/bquelhas,523,523,768,768,245,245,snapshot_2026_08_03.json,snapshot_2026_07_04.json
33,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,513,513,1899,1899,1386,1386,snapshot_2026_08_03.json,snapshot_2026_07_04.json
34,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,506,506,1407,1407,901,901,snapshot_2026_08_03.json,snapshot_2026_07_04.json
35,map,yukina-keihanshin,京阪神 (Keihanshin),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,495,495,495,495,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
36,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,494,494,2484,2484,1990,1990,snapshot_2026_08_03.json,snapshot_2026_07_04.json
37,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,491,491,2285,2285,1794,1794,snapshot_2026_08_03.json,snapshot_2026_07_04.json
38,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,491,491,1483,1483,992,992,snapshot_2026_08_03.json,snapshot_2026_07_04.json
39,map,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,485,485,603,603,118,118,snapshot_2026_08_03.json,snapshot_2026_07_04.json
40,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,472,472,2027,2027,1555,1555,snapshot_2026_08_03.json,snapshot_2026_07_04.json
41,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,467,467,977,977,510,510,snapshot_2026_08_03.json,snapshot_2026_07_04.json
42,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,467,467,902,902,435,435,snapshot_2026_08_03.json,snapshot_2026_07_04.json
43,map,vancouver,Vancouver,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,466,466,1616,1616,1150,1150,snapshot_2026_08_03.json,snapshot_2026_07_04.json
44,map,yukina-lv-riga,Rīga,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,465,465,471,471,6,6,snapshot_2026_08_03.json,snapshot_2026_07_04.json
45,map,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,441,441,1164,1164,723,723,snapshot_2026_08_03.json,snapshot_2026_07_04.json
46,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,441,441,694,694,253,253,snapshot_2026_08_03.json,snapshot_2026_07_04.json
47,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,439,439,1355,1355,916,916,snapshot_2026_08_03.json,snapshot_2026_07_04.json
48,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,434,434,666,666,232,232,snapshot_2026_08_03.json,snapshot_2026_07_04.json
49,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,430,430,1589,1589,1159,1159,snapshot_2026_08_03.json,snapshot_2026_07_04.json
50,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,426,426,2400,2400,1974,1974,snapshot_2026_08_03.json,snapshot_2026_07_04.json
51,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,423,423,846,846,423,423,snapshot_2026_08_03.json,snapshot_2026_07_04.json
52,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,402,402,939,939,537,537,snapshot_2026_08_03.json,snapshot_2026_07_04.json
53,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,386,386,1047,1047,661,661,snapshot_2026_08_03.json,snapshot_2026_07_04.json
54,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,381,381,868,868,487,487,snapshot_2026_08_03.json,snapshot_2026_07_04.json
55,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,368,368,1482,1482,1114,1114,snapshot_2026_08_03.json,snapshot_2026_07_04.json
56,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,347,347,634,634,287,287,snapshot_2026_08_03.json,snapshot_2026_07_04.json
57,map,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,343,343,683,683,340,340,snapshot_2026_08_03.json,snapshot_2026_07_04.json
58,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,334,334,923,923,589,589,snapshot_2026_08_03.json,snapshot_2026_07_04.json
59,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,318,318,1257,1257,939,939,snapshot_2026_08_03.json,snapshot_2026_07_04.json
60,map,yukina-ee-tallinn,Tallinn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,314,314,438,438,124,124,snapshot_2026_08_03.json,snapshot_2026_07_04.json
61,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,303,303,913,913,610,610,snapshot_2026_08_03.json,snapshot_2026_07_04.json
62,mod,subway-builder-performance,Subway Builder Performance,rexmhall09,rexmhall09,https://github.com/rexmhall09,302,302,302,302,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
63,map,cape-town,Cape Town,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,280,280,280,280,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
64,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,262,262,2292,2292,2030,2030,snapshot_2026_08_03.json,snapshot_2026_07_04.json
65,map,yukina-ua-kyiv,Київ / Kyiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,262,262,262,262,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
66,map,istanbul,Istanbul,pierreggt,pierreggt,https://github.com/pierreggt,257,257,257,257,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
67,mod,dantrains-abridged,Dan Trains Abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,253,253,253,253,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
68,map,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,241,241,657,657,416,416,snapshot_2026_08_03.json,snapshot_2026_07_04.json
69,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,227,227,678,678,451,451,snapshot_2026_08_03.json,snapshot_2026_07_04.json
70,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,221,221,492,492,271,271,snapshot_2026_08_03.json,snapshot_2026_07_04.json
71,map,ottawa,Ottawa,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,218,218,728,728,510,510,snapshot_2026_08_03.json,snapshot_2026_07_04.json
72,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,215,215,698,698,483,483,snapshot_2026_08_03.json,snapshot_2026_07_04.json
73,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,211,211,1391,1391,1180,1180,snapshot_2026_08_03.json,snapshot_2026_07_04.json
74,map,calgary,Calgary,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,209,209,666,666,457,457,snapshot_2026_08_03.json,snapshot_2026_07_04.json
75,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,209,209,475,475,266,266,snapshot_2026_08_03.json,snapshot_2026_07_04.json
76,mod,pause-on-start,Pause On Start,rslurry,slurry,https://github.com/rslurry,208,208,208,208,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
77,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,207,207,740,740,533,533,snapshot_2026_08_03.json,snapshot_2026_07_04.json
78,mod,train-anarchy,Train Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,203,203,203,203,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
79,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,198,198,684,684,486,486,snapshot_2026_08_03.json,snapshot_2026_07_04.json
80,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,193,193,656,656,463,463,snapshot_2026_08_03.json,snapshot_2026_07_04.json
81,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,193,193,460,460,267,267,snapshot_2026_08_03.json,snapshot_2026_07_04.json
82,map,quebec-city,Quebec City,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,192,192,582,582,390,390,snapshot_2026_08_03.json,snapshot_2026_07_04.json
83,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,187,187,519,519,332,332,snapshot_2026_08_03.json,snapshot_2026_07_04.json
84,map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,187,187,397,397,210,210,snapshot_2026_08_03.json,snapshot_2026_07_04.json
85,map,bordeaux-arcachon-libourne,Bordeaux,pierreggt,pierreggt,https://github.com/pierreggt,187,187,187,187,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
86,map,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,186,186,754,754,568,568,snapshot_2026_08_03.json,snapshot_2026_07_04.json
87,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,184,184,499,499,315,315,snapshot_2026_08_03.json,snapshot_2026_07_04.json
88,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,183,183,1168,1168,985,985,snapshot_2026_08_03.json,snapshot_2026_07_04.json
89,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,170,170,1105,1105,935,935,snapshot_2026_08_03.json,snapshot_2026_07_04.json
90,map,edmonton,Edmonton,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,167,167,561,561,394,394,snapshot_2026_08_03.json,snapshot_2026_07_04.json
91,map,au-melbourne,Melbourne,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,162,162,162,162,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
92,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,157,157,538,538,381,381,snapshot_2026_08_03.json,snapshot_2026_07_04.json
93,map,nice-cote-d-azur,Nice,pierreggt,pierreggt,https://github.com/pierreggt,157,157,157,157,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
94,map,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,156,156,662,662,506,506,snapshot_2026_08_03.json,snapshot_2026_07_04.json
95,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,154,154,1016,1016,862,862,snapshot_2026_08_03.json,snapshot_2026_07_04.json
96,map,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,154,154,381,381,227,227,snapshot_2026_08_03.json,snapshot_2026_07_04.json
97,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,154,154,363,363,209,209,snapshot_2026_08_03.json,snapshot_2026_07_04.json
98,map,lyon,Lyon,pierreggt,pierreggt,https://github.com/pierreggt,154,154,154,154,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
99,mod,demand-clusters,Demand Clusters,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,151,151,151,151,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
100,map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,150,150,383,383,233,233,snapshot_2026_08_03.json,snapshot_2026_07_04.json
101,map,yukina-lt-vilnius,Vilnius,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,145,145,145,145,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
102,map,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,143,143,405,405,262,262,snapshot_2026_08_03.json,snapshot_2026_07_04.json
103,map,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,141,141,381,381,240,240,snapshot_2026_08_03.json,snapshot_2026_07_04.json
104,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,140,140,343,343,203,203,snapshot_2026_08_03.json,snapshot_2026_07_04.json
105,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,140,140,302,302,162,162,snapshot_2026_08_03.json,snapshot_2026_07_04.json
106,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,139,139,262,262,123,123,snapshot_2026_08_03.json,snapshot_2026_07_04.json
107,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,137,137,461,461,324,324,snapshot_2026_08_03.json,snapshot_2026_07_04.json
108,map,bergen-stavanger-no,Bergen-Stavanger,rslurry,slurry,https://github.com/rslurry,136,136,235,235,99,99,snapshot_2026_08_03.json,snapshot_2026_07_04.json
109,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,135,135,325,325,190,190,snapshot_2026_08_03.json,snapshot_2026_07_04.json
110,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,130,130,275,275,145,145,snapshot_2026_08_03.json,snapshot_2026_07_04.json
111,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,128,128,744,744,616,616,snapshot_2026_08_03.json,snapshot_2026_07_04.json
112,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,127,127,735,735,608,608,snapshot_2026_08_03.json,snapshot_2026_07_04.json
113,map,winnipeg,Winnipeg,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,124,124,441,441,317,317,snapshot_2026_08_03.json,snapshot_2026_07_04.json
114,map,marseille,Marseille,pierreggt,pierreggt,https://github.com/pierreggt,123,123,123,123,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
115,map,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,122,122,264,264,142,142,snapshot_2026_08_03.json,snapshot_2026_07_04.json
116,map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,121,121,387,387,266,266,snapshot_2026_08_03.json,snapshot_2026_07_04.json
117,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,119,119,612,612,493,493,snapshot_2026_08_03.json,snapshot_2026_07_04.json
118,map,yukina-tw-hsinchu,新竹 (Hsinchu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,119,119,212,212,93,93,snapshot_2026_08_03.json,snapshot_2026_07_04.json
119,map,au-syd2,Sydney,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,117,117,117,117,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
120,map,greater-portland,Greater Portland,rslurry,slurry,https://github.com/rslurry,115,115,252,252,137,137,snapshot_2026_08_03.json,snapshot_2026_07_04.json
121,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,112,112,415,415,303,303,snapshot_2026_08_03.json,snapshot_2026_07_04.json
122,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,111,111,327,327,216,216,snapshot_2026_08_03.json,snapshot_2026_07_04.json
123,map,nz-auckland,Auckland,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,108,108,108,108,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
124,map,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,107,107,422,422,315,315,snapshot_2026_08_03.json,snapshot_2026_07_04.json
125,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,107,107,243,243,136,136,snapshot_2026_08_03.json,snapshot_2026_07_04.json
126,map,strasbourg,Strasbourg,pierreggt,pierreggt,https://github.com/pierreggt,107,107,107,107,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
127,map,sofia-bulgaria,Sofia,giannons46,giannons46,https://github.com/giannons46,106,106,106,106,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
128,map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,105,105,428,428,323,323,snapshot_2026_08_03.json,snapshot_2026_07_04.json
129,map,tri-cities,Tri-Cities,ryandicicco,ryandicicco,https://github.com/ryandicicco,104,104,160,160,56,56,snapshot_2026_08_03.json,snapshot_2026_07_04.json
130,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,102,102,1147,1147,1045,1045,snapshot_2026_08_03.json,snapshot_2026_07_04.json
131,map,lille,Lille,pierreggt,pierreggt,https://github.com/pierreggt,102,102,102,102,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
132,mod,copy-paste,Copy Paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,100,100,160,160,60,60,snapshot_2026_08_03.json,snapshot_2026_07_04.json
133,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,98,98,271,271,173,173,snapshot_2026_08_03.json,snapshot_2026_07_04.json
134,map,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,98,98,255,255,157,157,snapshot_2026_08_03.json,snapshot_2026_07_04.json
135,mod,hide-and-seek,Hide+Seek: The Mod [beta],nzh0172,naz,https://github.com/nzh0172,98,98,98,98,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
136,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,95,95,260,260,165,165,snapshot_2026_08_03.json,snapshot_2026_07_04.json
137,map,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,95,95,208,208,113,113,snapshot_2026_08_03.json,snapshot_2026_07_04.json
138,map,tromso-no,Tromsø,rslurry,slurry,https://github.com/rslurry,95,95,187,187,92,92,snapshot_2026_08_03.json,snapshot_2026_07_04.json
139,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,94,94,285,285,191,191,snapshot_2026_08_03.json,snapshot_2026_07_04.json
140,map,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,93,93,212,212,119,119,snapshot_2026_08_03.json,snapshot_2026_07_04.json
141,map,montpellier-mediterranee,Montpellier,pierreggt,pierreggt,https://github.com/pierreggt,93,93,93,93,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
142,map,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,92,92,269,269,177,177,snapshot_2026_08_03.json,snapshot_2026_07_04.json
143,map,yukina-tw-tainan,臺南 (Tainan),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,91,91,228,228,137,137,snapshot_2026_08_03.json,snapshot_2026_07_04.json
144,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,89,89,170,170,81,81,snapshot_2026_08_03.json,snapshot_2026_07_04.json
145,map,au-brisbane,Brisbane,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,89,89,89,89,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
146,mod,resizable-ui,Resizable UI,Tesarzh,Tesarzh,https://github.com/Tesarzh,89,89,89,89,0,0,snapshot_2026_08_03.json,snapshot_2026_07_04.json
147,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,88,88,508,508,420,420,snapshot_2026_08_03.json,snapshot_2026_07_04.json
148,map,lima,Lima,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,88,88,366,366,278,278,snapshot_2026_08_03.json,snapshot_2026_07_04.json
149,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,88,88,213,213,125,125,snapshot_2026_08_03.json,snapshot_2026_07_04.json
