rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,5581,5581,51452,51452,45871,45871,snapshot_2026_09_08.json,snapshot_2026_08_25.json,5235,5235,346,346
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,2708,2708,7331,7331,4623,4623,snapshot_2026_09_08.json,snapshot_2026_08_25.json,2708,2708,0,0
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,1069,1069,11285,11285,10216,10216,snapshot_2026_09_08.json,snapshot_2026_08_25.json,438,438,631,631
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,1025,1025,14418,14418,13393,13393,snapshot_2026_09_08.json,snapshot_2026_08_25.json,338,338,687,687
5,martig7,martig7,https://github.com/martig7,2,0,2,832,832,10080,10080,9248,9248,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,832,832
6,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,763,763,13223,13223,12460,12460,snapshot_2026_09_08.json,snapshot_2026_08_25.json,290,290,473,473
7,rslurry,slurry,https://github.com/rslurry,35,33,2,702,702,22056,22056,21354,21354,snapshot_2026_09_08.json,snapshot_2026_08_25.json,521,521,181,181
8,devenperez,devenperez,https://github.com/devenperez,8,8,0,563,563,11013,11013,10450,10450,snapshot_2026_09_08.json,snapshot_2026_08_25.json,563,563,0,0
9,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,548,548,9664,9664,9116,9116,snapshot_2026_09_08.json,snapshot_2026_08_25.json,548,548,0,0
10,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,506,506,6691,6691,6185,6185,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,506,506
11,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,478,478,10432,10432,9954,9954,snapshot_2026_09_08.json,snapshot_2026_08_25.json,478,478,0,0
12,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,452,452,1196,1196,744,744,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,452,452
13,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,442,442,2550,2550,2108,2108,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,442,442
14,nzh0172,naz,https://github.com/nzh0172,8,5,3,435,435,6990,6990,6555,6555,snapshot_2026_09_08.json,snapshot_2026_08_25.json,81,81,354,354
15,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,374,374,4017,4017,3643,3643,snapshot_2026_09_08.json,snapshot_2026_08_25.json,10,10,364,364
16,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,335,335,489,489,154,154,snapshot_2026_09_08.json,snapshot_2026_08_25.json,335,335,0,0
