rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,19667,19667,51452,51452,31785,31785,snapshot_2026_09_08.json,snapshot_2026_08_09.json,18647,18647,1020,1020
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,4575,4575,7331,7331,2756,2756,snapshot_2026_09_08.json,snapshot_2026_08_09.json,4575,4575,0,0
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,2849,2849,11285,11285,8436,8436,snapshot_2026_09_08.json,snapshot_2026_08_09.json,1079,1079,1770,1770
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,2368,2368,14418,14418,12050,12050,snapshot_2026_09_08.json,snapshot_2026_08_09.json,847,847,1521,1521
5,martig7,martig7,https://github.com/martig7,2,0,2,2348,2348,10080,10080,7732,7732,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,2348,2348
6,rslurry,slurry,https://github.com/rslurry,35,33,2,2111,2111,22056,22056,19945,19945,snapshot_2026_09_08.json,snapshot_2026_08_09.json,1452,1452,659,659
7,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,1854,1854,13223,13223,11369,11369,snapshot_2026_09_08.json,snapshot_2026_08_09.json,717,717,1137,1137
8,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,1750,1750,10432,10432,8682,8682,snapshot_2026_09_08.json,snapshot_2026_08_09.json,1750,1750,0,0
9,devenperez,devenperez,https://github.com/devenperez,8,8,0,1328,1328,11013,11013,9685,9685,snapshot_2026_09_08.json,snapshot_2026_08_09.json,1328,1328,0,0
10,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,1230,1230,14278,14278,13048,13048,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,1230,1230
11,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,1220,1220,9664,9664,8444,8444,snapshot_2026_09_08.json,snapshot_2026_08_09.json,1220,1220,0,0
12,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,1175,1175,6691,6691,5516,5516,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,1175,1175
13,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,990,990,2550,2550,1560,1560,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,990,990
14,nzh0172,naz,https://github.com/nzh0172,8,5,3,947,947,6990,6990,6043,6043,snapshot_2026_09_08.json,snapshot_2026_08_09.json,222,222,725,725
15,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,778,778,1196,1196,418,418,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,778,778
16,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,717,717,4017,4017,3300,3300,snapshot_2026_09_08.json,snapshot_2026_08_09.json,85,85,632,632
17,pendulating,pendulating,https://github.com/pendulating,1,0,1,708,708,2177,2177,1469,1469,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,708,708
18,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,578,578,3890,3890,3312,3312,snapshot_2026_09_08.json,snapshot_2026_08_09.json,129,129,449,449
19,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,489,489,4431,4431,3942,3942,snapshot_2026_09_08.json,snapshot_2026_08_09.json,489,489,0,0
20,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,489,489,489,489,0,0,snapshot_2026_09_08.json,snapshot_2026_08_09.json,489,489,0,0
21,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,435,435,3702,3702,3267,3267,snapshot_2026_09_08.json,snapshot_2026_08_09.json,0,0,435,435
22,kimth9,kimth9,https://github.com/kimth9,20,19,1,434,434,8585,8585,8151,8151,snapshot_2026_09_08.json,snapshot_2026_08_09.json,402,402,32,32
23,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,430,430,1747,1747,1317,1317,snapshot_2026_09_08.json,snapshot_2026_08_09.json,430,430,0,0
24,cromstar,cromstar,https://github.com/cromstar,1,1,0,367,367,367,367,0,0,snapshot_2026_09_08.json,snapshot_2026_08_09.json,367,367,0,0
25,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,309,309,1037,1037,728,728,snapshot_2026_09_08.json,snapshot_2026_08_09.json,309,309,0,0
26,jelegend,jelegend,https://github.com/jelegend,1,1,0,306,306,3766,3766,3460,3460,snapshot_2026_09_08.json,snapshot_2026_08_09.json,306,306,0,0
