rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,2426,2426,51452,51452,49026,49026,snapshot_2026_09_08.json,snapshot_2026_09_01.json
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,1640,1640,7331,7331,5691,5691,snapshot_2026_09_08.json,snapshot_2026_09_01.json
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,566,566,11285,11285,10719,10719,snapshot_2026_09_08.json,snapshot_2026_09_01.json
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,505,505,14418,14418,13913,13913,snapshot_2026_09_08.json,snapshot_2026_09_01.json
5,martig7,martig7,https://github.com/martig7,2,0,2,436,436,10080,10080,9644,9644,snapshot_2026_09_08.json,snapshot_2026_09_01.json
6,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,419,419,13223,13223,12804,12804,snapshot_2026_09_08.json,snapshot_2026_09_01.json
7,rslurry,slurry,https://github.com/rslurry,35,33,2,359,359,22056,22056,21697,21697,snapshot_2026_09_08.json,snapshot_2026_09_01.json
8,devenperez,devenperez,https://github.com/devenperez,8,8,0,337,337,11013,11013,10676,10676,snapshot_2026_09_08.json,snapshot_2026_09_01.json
9,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,282,282,9664,9664,9382,9382,snapshot_2026_09_08.json,snapshot_2026_09_01.json
10,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,249,249,6691,6691,6442,6442,snapshot_2026_09_08.json,snapshot_2026_09_01.json
11,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,223,223,10432,10432,10209,10209,snapshot_2026_09_08.json,snapshot_2026_09_01.json
12,nzh0172,naz,https://github.com/nzh0172,8,5,3,214,214,6990,6990,6776,6776,snapshot_2026_09_08.json,snapshot_2026_09_01.json
13,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,192,192,2550,2550,2358,2358,snapshot_2026_09_08.json,snapshot_2026_09_01.json
14,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,189,189,4017,4017,3828,3828,snapshot_2026_09_08.json,snapshot_2026_09_01.json
15,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,173,173,1196,1196,1023,1023,snapshot_2026_09_08.json,snapshot_2026_09_01.json
16,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,150,150,489,489,339,339,snapshot_2026_09_08.json,snapshot_2026_09_01.json
17,pendulating,pendulating,https://github.com/pendulating,1,0,1,124,124,2177,2177,2053,2053,snapshot_2026_09_08.json,snapshot_2026_09_01.json
18,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,116,116,1747,1747,1631,1631,snapshot_2026_09_08.json,snapshot_2026_09_01.json
19,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,94,94,4431,4431,4337,4337,snapshot_2026_09_08.json,snapshot_2026_09_01.json
20,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,1,0,1,94,94,94,94,0,0,snapshot_2026_09_08.json,snapshot_2026_09_01.json
21,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,92,92,3890,3890,3798,3798,snapshot_2026_09_08.json,snapshot_2026_09_01.json
22,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,2,0,2,92,92,103,103,11,11,snapshot_2026_09_08.json,snapshot_2026_09_01.json
23,kimth9,kimth9,https://github.com/kimth9,20,19,1,80,80,8585,8585,8505,8505,snapshot_2026_09_08.json,snapshot_2026_09_01.json
24,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,80,80,238,238,158,158,snapshot_2026_09_08.json,snapshot_2026_09_01.json
25,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,79,79,3702,3702,3623,3623,snapshot_2026_09_08.json,snapshot_2026_09_01.json
26,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,76,76,172,172,96,96,snapshot_2026_09_08.json,snapshot_2026_09_01.json
27,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,56,56,2785,2785,2729,2729,snapshot_2026_09_08.json,snapshot_2026_09_01.json
28,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,55,55,2603,2603,2548,2548,snapshot_2026_09_08.json,snapshot_2026_09_01.json
29,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,46,46,211,211,165,165,snapshot_2026_09_08.json,snapshot_2026_09_01.json
30,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,44,44,1883,1883,1839,1839,snapshot_2026_09_08.json,snapshot_2026_09_01.json
31,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,44,44,1664,1664,1620,1620,snapshot_2026_09_08.json,snapshot_2026_09_01.json
32,cromstar,cromstar,https://github.com/cromstar,1,1,0,44,44,367,367,323,323,snapshot_2026_09_08.json,snapshot_2026_09_01.json
33,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,39,39,1516,1516,1477,1477,snapshot_2026_09_08.json,snapshot_2026_09_01.json
34,jelegend,jelegend,https://github.com/jelegend,1,1,0,36,36,3766,3766,3730,3730,snapshot_2026_09_08.json,snapshot_2026_09_01.json
35,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,34,34,1353,1353,1319,1319,snapshot_2026_09_08.json,snapshot_2026_09_01.json
36,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,32,32,1037,1037,1005,1005,snapshot_2026_09_08.json,snapshot_2026_09_01.json
37,arniber21,arniber21,https://github.com/arniber21,1,0,1,32,32,244,244,212,212,snapshot_2026_09_08.json,snapshot_2026_09_01.json
38,bean1322,bean1322,https://github.com/bean1322,2,2,0,28,28,195,195,167,167,snapshot_2026_09_08.json,snapshot_2026_09_01.json
39,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,17,17,297,297,280,280,snapshot_2026_09_08.json,snapshot_2026_09_01.json
40,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,15,15,127,127,112,112,snapshot_2026_09_08.json,snapshot_2026_09_01.json
