rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
120,map,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,174,174,snapshot_2026_06_25.json
121,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,174,174,snapshot_2026_06_25.json
122,map,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,172,172,snapshot_2026_06_25.json
123,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,169,169,snapshot_2026_06_25.json
124,map,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,169,169,snapshot_2026_06_25.json
125,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,167,167,snapshot_2026_06_25.json
126,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,165,165,snapshot_2026_06_25.json
127,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,161,161,snapshot_2026_06_25.json
128,map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,160,160,snapshot_2026_06_25.json
129,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,159,159,snapshot_2026_06_25.json
130,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,157,157,snapshot_2026_06_25.json
131,map,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,153,120,snapshot_2026_06_25.json
132,map,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,153,153,snapshot_2026_06_25.json
133,map,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,152,152,snapshot_2026_06_25.json
134,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,151,151,snapshot_2026_06_25.json
135,map,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,150,150,snapshot_2026_06_25.json
136,map,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,150,150,snapshot_2026_06_25.json
137,map,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,146,146,snapshot_2026_06_25.json
138,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,146,146,snapshot_2026_06_25.json
139,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,140,140,snapshot_2026_06_25.json
140,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,139,139,snapshot_2026_06_25.json
141,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,139,139,snapshot_2026_06_25.json
142,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,139,139,snapshot_2026_06_25.json
143,map,buffalo-ny,Buffalo,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,135,135,snapshot_2026_06_25.json
144,map,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,134,134,snapshot_2026_06_25.json
145,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,134,134,snapshot_2026_06_25.json
146,map,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,133,133,snapshot_2026_06_25.json
147,map,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,132,132,snapshot_2026_06_25.json
148,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,130,130,snapshot_2026_06_25.json
149,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,130,130,snapshot_2026_06_25.json
150,map,yukina-bydgoszcz-torun,Bydgoszcz - Toruń,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,129,129,snapshot_2026_06_25.json
151,map,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,128,128,snapshot_2026_06_25.json
152,map,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,128,128,snapshot_2026_06_25.json
153,map,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,127,127,snapshot_2026_06_25.json
154,map,greater-portland,Greater Portland,rslurry,slurry,https://github.com/rslurry,126,126,snapshot_2026_06_25.json
155,map,yukina-tw-tainan,臺南 (Tainan),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,126,126,snapshot_2026_06_25.json
156,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,125,125,snapshot_2026_06_25.json
157,map,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,124,124,snapshot_2026_06_25.json
158,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,124,124,snapshot_2026_06_25.json
159,map,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,120,120,snapshot_2026_06_25.json
160,map,connecticut-usa,Connecticut,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,118,118,snapshot_2026_06_25.json
161,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,117,117,snapshot_2026_06_25.json
162,map,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,116,116,snapshot_2026_06_25.json
163,map,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,116,116,snapshot_2026_06_25.json
164,map,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,113,113,snapshot_2026_06_25.json
165,map,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,109,109,snapshot_2026_06_25.json
166,map,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,108,108,snapshot_2026_06_25.json
167,map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,106,106,snapshot_2026_06_25.json
168,map,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,105,105,snapshot_2026_06_25.json
169,map,daegu-4,Daegu (40km×40km),kimth9,kimth9,https://github.com/kimth9,104,104,snapshot_2026_06_25.json
170,map,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,102,102,snapshot_2026_06_25.json
171,map,yukina-ee-tallinn,Tallinn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,101,101,snapshot_2026_06_25.json
172,map,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,97,97,snapshot_2026_06_25.json
