rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,97,97,8148,8148,8051,8051,snapshot_2026_07_01.json,snapshot_2026_06_30.json
2,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,86,91,11994,11944,11908,11853,snapshot_2026_07_01.json,snapshot_2026_06_30.json
3,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,79,79,3282,3282,3203,3203,snapshot_2026_07_01.json,snapshot_2026_06_30.json
4,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,65,65,1148,1148,1083,1083,snapshot_2026_07_01.json,snapshot_2026_06_30.json
5,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,64,-144,7463,7255,7399,7399,snapshot_2026_07_01.json,snapshot_2026_06_30.json
6,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,59,59,439,439,380,380,snapshot_2026_07_01.json,snapshot_2026_06_30.json
7,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,55,55,1744,1744,1689,1689,snapshot_2026_07_01.json,snapshot_2026_06_30.json
8,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,54,54,6498,6498,6444,6444,snapshot_2026_07_01.json,snapshot_2026_06_30.json
9,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,46,46,404,404,358,358,snapshot_2026_07_01.json,snapshot_2026_06_30.json
10,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,43,43,1042,1042,999,999,snapshot_2026_07_01.json,snapshot_2026_06_30.json
11,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,42,42,2967,2967,2925,2925,snapshot_2026_07_01.json,snapshot_2026_06_30.json
12,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,4,42,42,2048,2048,2006,2006,snapshot_2026_07_01.json,snapshot_2026_06_30.json
13,nerdiesanders/subway-builder-gchi,subway-builder-gchi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,42,42,118,118,76,76,snapshot_2026_07_01.json,snapshot_2026_06_30.json
14,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,41,41,1935,1935,1894,1894,snapshot_2026_07_01.json,snapshot_2026_06_30.json
15,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,38,38,2398,2398,2360,2360,snapshot_2026_07_01.json,snapshot_2026_06_30.json
16,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,37,37,1125,1125,1088,1088,snapshot_2026_07_01.json,snapshot_2026_06_30.json
17,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,35,35,1994,1994,1959,1959,snapshot_2026_07_01.json,snapshot_2026_06_30.json
18,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,32,32,1523,1523,1491,1491,snapshot_2026_07_01.json,snapshot_2026_06_30.json
