rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,163,163,11846,11846,11683,11683,snapshot_2026_08_03.json,snapshot_2026_08_02.json
2,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,148,148,970,970,822,822,snapshot_2026_08_03.json,snapshot_2026_08_02.json
3,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,107,107,3748,3748,3641,3641,snapshot_2026_08_03.json,snapshot_2026_08_02.json
4,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,93,93,6442,6442,6349,6349,snapshot_2026_08_03.json,snapshot_2026_08_02.json
5,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,78,78,4609,4609,4531,4531,snapshot_2026_08_03.json,snapshot_2026_08_02.json
6,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,77,77,1566,1566,1489,1489,snapshot_2026_08_03.json,snapshot_2026_08_02.json
7,map,au-melbourne,Melbourne,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,74,74,162,162,88,88,snapshot_2026_08_03.json,snapshot_2026_08_02.json
8,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,55,55,2955,2955,2900,2900,snapshot_2026_08_03.json,snapshot_2026_08_02.json
9,mod,imb11-moveit,Move It!,IMB11,IMB11,https://github.com/IMB11,49,49,1151,1151,1102,1102,snapshot_2026_08_03.json,snapshot_2026_08_02.json
10,map,au-syd2,Sydney,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,49,49,117,117,68,68,snapshot_2026_08_03.json,snapshot_2026_08_02.json
11,map,nz-auckland,Auckland,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,48,48,108,108,60,60,snapshot_2026_08_03.json,snapshot_2026_08_02.json
