rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,732,732,8372,8372,7640,7640,snapshot_2026_07_27.json,snapshot_2026_07_24.json
2,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,52,649,649,9193,9193,8544,8544,snapshot_2026_07_27.json,snapshot_2026_07_24.json
3,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,616,616,3926,3926,3310,3310,snapshot_2026_07_27.json,snapshot_2026_07_24.json
4,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,602,602,10917,10917,10315,10315,snapshot_2026_07_27.json,snapshot_2026_07_24.json
5,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,30,580,580,9645,9645,9065,9065,snapshot_2026_07_27.json,snapshot_2026_07_24.json
6,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,565,565,16802,16802,16237,16237,snapshot_2026_07_27.json,snapshot_2026_07_24.json
7,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,551,551,5463,5463,4912,4912,snapshot_2026_07_27.json,snapshot_2026_07_24.json
8,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,438,438,3249,3249,2811,2811,snapshot_2026_07_27.json,snapshot_2026_07_24.json
9,pendulating/neighborhood-station-names,neighborhood-station-names,pendulating,pendulating,https://github.com/pendulating,1,345,345,509,509,164,164,snapshot_2026_07_27.json,snapshot_2026_07_24.json
10,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,285,285,3321,3321,3036,3036,snapshot_2026_07_27.json,snapshot_2026_07_24.json
11,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,283,283,2090,2090,1807,1807,snapshot_2026_07_27.json,snapshot_2026_07_24.json
