rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,979,979,6442,6442,5463,5463,snapshot_2026_08_03.json,snapshot_2026_07_27.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,929,929,11846,11846,10917,10917,snapshot_2026_08_03.json,snapshot_2026_07_27.json
3,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,683,683,4609,4609,3926,3926,snapshot_2026_08_03.json,snapshot_2026_07_27.json
4,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,542,542,2955,2955,2413,2413,snapshot_2026_08_03.json,snapshot_2026_07_27.json
5,mod,imb11-moveit,Move It!,IMB11,IMB11,https://github.com/IMB11,519,519,1151,1151,632,632,snapshot_2026_08_03.json,snapshot_2026_07_27.json
6,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,461,461,970,970,509,509,snapshot_2026_08_03.json,snapshot_2026_07_27.json
7,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,424,424,1566,1566,1142,1142,snapshot_2026_08_03.json,snapshot_2026_07_27.json
8,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,419,419,3748,3748,3329,3329,snapshot_2026_08_03.json,snapshot_2026_07_27.json
9,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,386,386,2476,2476,2090,2090,snapshot_2026_08_03.json,snapshot_2026_07_27.json
10,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,368,368,1355,1355,987,987,snapshot_2026_08_03.json,snapshot_2026_07_27.json
11,mod,map-markers,Map Markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,322,322,784,784,462,462,snapshot_2026_08_03.json,snapshot_2026_07_27.json
12,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,291,291,4133,4133,3842,3842,snapshot_2026_08_03.json,snapshot_2026_07_27.json
13,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,263,263,1950,1950,1687,1687,snapshot_2026_08_03.json,snapshot_2026_07_27.json
14,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,250,250,2722,2722,2472,2472,snapshot_2026_08_03.json,snapshot_2026_07_27.json
15,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,245,245,2306,2306,2061,2061,snapshot_2026_08_03.json,snapshot_2026_07_27.json
16,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,235,235,1888,1888,1653,1653,snapshot_2026_08_03.json,snapshot_2026_07_27.json
