rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
80,map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://github.com/ahkimn,17,16,67,66,50,50,snapshot_2026_04_03.json,snapshot_2026_03_27.json
81,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://github.com/ahkimn,17,16,66,64,49,48,snapshot_2026_04_03.json,snapshot_2026_03_27.json
82,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://github.com/ahkimn,16,17,66,66,50,49,snapshot_2026_04_03.json,snapshot_2026_03_27.json
83,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,16,16,49,49,33,33,snapshot_2026_04_03.json,snapshot_2026_03_27.json
84,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,16,16,16,16,0,0,snapshot_2026_04_03.json,snapshot_2026_03_27.json
85,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,15,15,51,51,36,36,snapshot_2026_04_03.json,snapshot_2026_03_27.json
86,map,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,15,16,46,46,31,30,snapshot_2026_04_03.json,snapshot_2026_03_27.json
87,map,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,15,15,36,36,21,21,snapshot_2026_04_03.json,snapshot_2026_03_27.json
88,map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://github.com/ahkimn,15,16,34,34,19,18,snapshot_2026_04_03.json,snapshot_2026_03_27.json
89,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,15,15,15,15,0,0,snapshot_2026_04_03.json,snapshot_2026_03_27.json
90,map,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,14,14,61,61,47,47,snapshot_2026_04_03.json,snapshot_2026_03_27.json
91,map,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,14,14,59,59,45,45,snapshot_2026_04_03.json,snapshot_2026_03_27.json
92,map,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,14,14,36,36,22,22,snapshot_2026_04_03.json,snapshot_2026_03_27.json
93,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://github.com/ahkimn,14,13,35,33,21,20,snapshot_2026_04_03.json,snapshot_2026_03_27.json
94,map,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,13,13,29,29,16,16,snapshot_2026_04_03.json,snapshot_2026_03_27.json
95,map,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,12,12,47,47,35,35,snapshot_2026_04_03.json,snapshot_2026_03_27.json
96,map,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,12,13,35,35,23,22,snapshot_2026_04_03.json,snapshot_2026_03_27.json
97,map,palermo,Palermo,Maximilian284,max02,https://github.com/Maximilian284,12,12,29,29,17,17,snapshot_2026_04_03.json,snapshot_2026_03_27.json
98,map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://github.com/ahkimn,12,8,21,17,9,9,snapshot_2026_04_03.json,snapshot_2026_03_27.json
99,map,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,11,12,16,16,5,4,snapshot_2026_04_03.json,snapshot_2026_03_27.json
100,map,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,10,10,51,51,41,41,snapshot_2026_04_03.json,snapshot_2026_03_27.json
101,map,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,9,9,51,51,42,42,snapshot_2026_04_03.json,snapshot_2026_03_27.json
102,map,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,7,7,17,17,10,10,snapshot_2026_04_03.json,snapshot_2026_03_27.json
103,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://github.com/ahkimn,7,7,16,16,9,9,snapshot_2026_04_03.json,snapshot_2026_03_27.json
104,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,7,7,0,0,snapshot_2026_04_03.json,snapshot_2026_03_27.json
105,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,6,26,50,50,44,24,snapshot_2026_04_03.json,snapshot_2026_03_27.json
106,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,0,38,230,68,230,30,snapshot_2026_04_03.json,snapshot_2026_03_27.json
107,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,0,61,130,111,130,50,snapshot_2026_04_03.json,snapshot_2026_03_27.json
108,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,0,11,40,20,40,9,snapshot_2026_04_03.json,snapshot_2026_03_27.json
