rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
40,kaicardenas0618/subway-builder-sfl,subway-builder-sfl,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,2,2,147,147,145,145,snapshot_2026_05_01.json,snapshot_2026_04_30.json
41,tathandev/tathancasino,TathanCasino,TathanDev,TathanDev,https://github.com/TathanDev,1,2,2,70,70,68,68,snapshot_2026_05_01.json,snapshot_2026_04_30.json
42,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,muffintime,https://github.com/crumpetime,1,1,1,213,213,212,212,snapshot_2026_05_01.json,snapshot_2026_04_30.json
43,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,1,140,140,139,139,snapshot_2026_05_01.json,snapshot_2026_04_30.json
44,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,muffintime,https://github.com/crumpetime,1,1,1,90,90,89,89,snapshot_2026_05_01.json,snapshot_2026_04_30.json
45,crumpetime/sb-maps-rdu,sb-maps-rdu,crumpetime,muffintime,https://github.com/crumpetime,1,1,1,29,29,28,28,snapshot_2026_05_01.json,snapshot_2026_04_30.json
46,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,0,0,176,176,176,176,snapshot_2026_05_01.json,snapshot_2026_04_30.json
47,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,0,0,146,132,146,132,snapshot_2026_05_01.json,snapshot_2026_04_30.json
48,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,142,142,142,142,snapshot_2026_05_01.json,snapshot_2026_04_30.json
49,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,138,138,138,138,snapshot_2026_05_01.json,snapshot_2026_04_30.json
50,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,0,0,132,132,132,132,snapshot_2026_05_01.json,snapshot_2026_04_30.json
51,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,120,120,120,120,snapshot_2026_05_01.json,snapshot_2026_04_30.json
52,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,117,117,117,117,snapshot_2026_05_01.json,snapshot_2026_04_30.json
53,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,muffintime,https://github.com/crumpetime,1,0,2,113,76,113,74,snapshot_2026_05_01.json,snapshot_2026_04_30.json
54,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,113,113,113,113,snapshot_2026_05_01.json,snapshot_2026_04_30.json
55,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,101,101,101,101,snapshot_2026_05_01.json,snapshot_2026_04_30.json
56,pswbsf/anchorage-ak,anchorage-ak,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,85,85,85,85,snapshot_2026_05_01.json,snapshot_2026_04_30.json
57,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,73,73,73,73,snapshot_2026_05_01.json,snapshot_2026_04_30.json
58,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,0,0,67,67,67,67,snapshot_2026_05_01.json,snapshot_2026_04_30.json
59,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,65,65,65,65,snapshot_2026_05_01.json,snapshot_2026_04_30.json
60,phineapoo/willamette-valley-or,Willamette-Valley-OR,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,0,0,54,54,54,54,snapshot_2026_05_01.json,snapshot_2026_04_30.json
61,pswbsf/charleston-sc,charleston-sc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,52,52,52,52,snapshot_2026_05_01.json,snapshot_2026_04_30.json
62,pswbsf/dayton-oh,dayton-oh,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,40,40,40,40,snapshot_2026_05_01.json,snapshot_2026_04_30.json
63,bean1322/toledo-oh-map.git,toledo-oh-map.git,bean1322,bean1322,https://github.com/bean1322,1,0,0,23,23,23,23,snapshot_2026_05_01.json,snapshot_2026_04_30.json
64,bean1322/akron-oh-map,akron-oh-map,bean1322,bean1322,https://github.com/bean1322,1,0,0,22,22,22,22,snapshot_2026_05_01.json,snapshot_2026_04_30.json
