rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
11,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,BER,DE,3926141,39805,923,633,1.45,0.599,0.724,0.594,0.724,0.596,0.49,1009,10320,14212.28,99.84,6715,12975.63,97.95,12807,14925.88,1,0.32
12,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,GDL,MX,3846575,35869,5576,1141,4.86,0.27,0.275,0.271,0.289,0.27,0.66,1756,2657,4357.87,77.21,1869,3450.31,97.55,8087,10019.99,1,0.7
13,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,SIN,SG,3529424,31692,1095,408,2.67,0.121,0.215,0.133,0.275,0.126,1,662,14124,18703.16,99.26,3697,8967.91,88.24,13731,14272.18,2,0.44
14,south-florida,South Florida,kaicardenas0618,kAI,https://github.com/kronifer,SFL,US,3454784,305679,5480,3332,1.64,0.568,0.792,0.435,0.969,0.497,0.6,4999,786,1150.42,90.13,358,1157.4,89.47,28468,39611.03,3,0.67
15,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,ESMD,ES,3283483,23715,11989,2087,5.74,0.182,0.191,0.18,0.181,0.181,0.88,3364,703,1707.64,92.09,372,2601.81,60.47,10344.5,14280.81,1,0.79
16,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,LAXM,US,3179061,253472,4077,2470,1.64,0.602,0.625,0.404,0.467,0.493,0.61,3227,985,1314.05,97.94,615,1318.78,97.25,22308,25068.37,4,0.67
17,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,SYD,AU,3176499,25580,9687,2577,3.76,0.295,0.304,0.272,0.323,0.283,0.72,3132,971,1365.03,90.3,626,1567.9,78.58,9837,14057.92,2,0.53
18,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,PBC,MX,3079937,41729,7823,2037,3.83,0.28,0.293,0.283,0.309,0.282,0.72,3976,917,1841.43,81.98,727,1551.72,97.25,8115,12241.93,2,0.77
19,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,GLED,GB,3069560,47377,12148,2962,4.1,0.174,0.208,0.193,0.248,0.183,0.97,3332,701,1052.13,98.48,675,1110.42,100,18592,29853.88,3,0.6
20,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,MIL,IT,2677197,23484,10146,2403,4.22,0.186,0.195,0.162,0.166,0.174,0.99,2655,481,1335.31,83.4,217,1843.57,60.42,8148.9,14641.97,1,0.37
21,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,ESBC,ES,2634600,11866,5727,1422,4.02,0.18,0.2,0.177,0.212,0.179,0.99,2972,767,2585.62,71.59,351,2732.8,67.79,8542.8,13995.58,1,0.85
22,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,BUC,RO,2583210,64703,1852,1753,1.04,0.936,0.936,0.935,0.936,0.936,0,2136,338,1470.48,100,13,556.22,100,18518,20307.9,1,0.09
23,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,YUL,CA,2523330,21051,8282,2809,2.95,0.301,0.336,0.311,0.402,0.306,0.75,3535,632,1039.69,86.37,466,1088.46,82.52,11886,16357.11,3,0.45
24,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,TLV,IL,2497200,12486,1301,630,2.06,0.436,0.558,0.371,0.488,0.402,0.69,987,3400,4481.88,87.62,1400,4033.01,98.1,12643,15912.4,2,0.51
25,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,ZRH,CH,2147370,98878,39672,6555,5.99,0.139,0.149,0.131,0.143,0.135,1,5617,44,382.54,85.26,33,331.15,98.37,26671,34216.83,1,0.45
26,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,WAW,PL,2115324,19327,622,409,1.5,0.5,0.547,0.466,0.519,0.482,0.66,606,7636,11470.62,100,2564,5316.58,98.78,8371,9054.29,2,0.16
27,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,KMSP,US,2003945,304108,5866,4652,1.26,0.684,0.756,0.41,0.464,0.529,0.47,11111,203,438.86,98.15,127,487.1,88.44,30014,34856.81,1,0.47
28,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,DCA,US,2003362,145916,5548,3651,1.51,0.519,0.581,0.395,0.458,0.453,0.71,5773,320,552.17,99.34,162,560.9,97.1,26687,31234.69,2,0.55
