rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
103,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,DAY,US,302604,25947,1567,1301,1.19,0.695,0.773,0.541,0.592,0.613,0.36,3213,116,236.86,98.16,98,257.87,89.85,20309,22104.36,1,0.49
104,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,ROC,US,270140,24806,832,611,1.34,0.654,0.701,0.498,0.567,0.571,0.56,943,308,443.57,99.51,163,446.6,98.69,14667,15651.83,1,0.33
105,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,XNA,US,261959,38101,3064,2815,1.08,0.737,0.893,0.488,0.573,0.6,0.05,9554,19,111.52,83.45,19,187.37,49.66,25870,30654.34,2,0.52
106,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,OKC,US,235101,20963,640,495,1.27,0.743,0.792,0.452,0.769,0.579,0.49,948,351,483.42,97.78,173,479.84,95.96,14663,15342.92,2,0.73
107,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,PVD,US,233115,13933,683,423,1.61,0.514,0.58,0.425,0.481,0.467,0.66,527,347,556.29,99.05,272,555.78,99.05,11091,13383.48,2,0.26
108,yukina-asahikawa,旭川 (Asahikawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,AKJ,JP,224338,8177,3188,540,5.89,0.137,0.171,0.128,0.157,0.132,1,754,84,512.99,80.93,132,564.38,73.52,4867,6156.25,1,0.05
109,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HKD,JP,195695,6588,2182,448,4.86,0.178,0.177,0.146,0.171,0.161,0.99,587,118,511.85,85.27,129,529.86,82.37,4828,8280.69,1,0.1
110,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,TRD,NO,194310,1764,123,83,1.4,0.415,0.485,0.433,0.442,0.424,0.77,84,2982,3864.27,100,1196,2878.35,100,3689,4163.48,1,0
111,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,ANC,US,189506,10546,742,592,1.24,0.459,0.586,0.366,0.442,0.41,0.35,1948,124,386.69,82.77,83,438.57,72.97,18255,32964.98,1,0.59
112,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,EGE,US,167071,8868,2140,2056,1.03,0.709,0.888,0.324,0.556,0.479,0.28,5915,9,183.39,44.31,18,295.7,27.48,46555,65192.97,6,0.82
113,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,GEG,US,157109,16695,526,399,1.3,0.685,0.732,0.435,0.579,0.546,0.47,908,223,401.13,97.99,152,407.59,94.49,12413,13517.45,2,0.65
114,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,CHAI,US,151225,16547,1595,1462,1.08,0.784,0.927,0.536,0.632,0.648,0,5884,36,116.05,89.12,40,176.25,58.69,25794,32341.68,3,0.91
115,ipoh,Ipoh,nzh0172,naz,https://github.com/nzh0172,IPH,MY,89318,1477,710,358,1.97,0.512,0.585,0.419,0.605,0.463,0.58,824,3,330.6,74.86,222,1131.35,99.72,4804,11579.4,1,0.61
116,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,WIL,US,83410,3737,333,231,1.41,0.589,0.635,0.534,0.573,0.561,0.5,448,301,393.37,91.77,141,379.15,93.94,10405,11460.15,2,0.53
