rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
88,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,112,112,snapshot_2026_04_25.json
89,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,112,112,snapshot_2026_04_25.json
90,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,111,111,snapshot_2026_04_25.json
91,map,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,111,111,snapshot_2026_04_25.json
92,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,110,110,snapshot_2026_04_25.json
93,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,109,109,snapshot_2026_04_25.json
94,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,107,107,snapshot_2026_04_25.json
95,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,107,107,snapshot_2026_04_25.json
96,map,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,106,106,snapshot_2026_04_25.json
97,map,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,101,101,snapshot_2026_04_25.json
98,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,100,100,snapshot_2026_04_25.json
99,map,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,97,97,snapshot_2026_04_25.json
100,map,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,97,97,snapshot_2026_04_25.json
101,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,96,96,snapshot_2026_04_25.json
102,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,96,96,snapshot_2026_04_25.json
103,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,94,94,snapshot_2026_04_25.json
104,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,94,94,snapshot_2026_04_25.json
105,map,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,93,93,snapshot_2026_04_25.json
106,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,93,93,snapshot_2026_04_25.json
107,map,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,92,92,snapshot_2026_04_25.json
108,map,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,88,88,snapshot_2026_04_25.json
109,map,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,87,87,snapshot_2026_04_25.json
110,map,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,85,85,snapshot_2026_04_25.json
111,map,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,82,82,snapshot_2026_04_25.json
112,map,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,81,81,snapshot_2026_04_25.json
113,map,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,81,81,snapshot_2026_04_25.json
114,map,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,79,79,snapshot_2026_04_25.json
115,map,daegu-4,Daegu (40km×40km),kimth9,kimth9,https://github.com/kimth9,78,78,snapshot_2026_04_25.json
116,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,76,76,snapshot_2026_04_25.json
117,map,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,75,75,snapshot_2026_04_25.json
118,map,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,72,72,snapshot_2026_04_25.json
