rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,80,80,787,787,707,707,snapshot_2026_05_04.json,snapshot_2026_05_03.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,76,76,5751,5751,5675,5675,snapshot_2026_05_04.json,snapshot_2026_05_03.json
3,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,37,37,1611,1611,1574,1574,snapshot_2026_05_04.json,snapshot_2026_05_03.json
4,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,36,36,330,330,294,294,snapshot_2026_05_04.json,snapshot_2026_05_03.json
5,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,33,33,1026,1026,993,993,snapshot_2026_05_04.json,snapshot_2026_05_03.json
6,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,29,29,1756,1756,1727,1727,snapshot_2026_05_04.json,snapshot_2026_05_03.json
7,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,28,28,1381,1381,1353,1353,snapshot_2026_05_04.json,snapshot_2026_05_03.json
8,map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,28,28,84,84,56,56,snapshot_2026_05_04.json,snapshot_2026_05_03.json
9,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,27,27,994,994,967,967,snapshot_2026_05_04.json,snapshot_2026_05_03.json
10,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,27,27,872,872,845,845,snapshot_2026_05_04.json,snapshot_2026_05_03.json
11,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,26,26,1219,1219,1193,1193,snapshot_2026_05_04.json,snapshot_2026_05_03.json
12,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,26,26,1103,1103,1077,1077,snapshot_2026_05_04.json,snapshot_2026_05_03.json
13,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,23,23,1514,1514,1491,1491,snapshot_2026_05_04.json,snapshot_2026_05_03.json
14,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,23,23,455,455,432,432,snapshot_2026_05_04.json,snapshot_2026_05_03.json
15,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,22,22,1550,1550,1528,1528,snapshot_2026_05_04.json,snapshot_2026_05_03.json
16,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,18,18,1185,1185,1167,1167,snapshot_2026_05_04.json,snapshot_2026_05_03.json
17,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,18,18,852,852,834,834,snapshot_2026_05_04.json,snapshot_2026_05_03.json
18,map,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,17,17,405,405,388,388,snapshot_2026_05_04.json,snapshot_2026_05_03.json
19,map,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,17,17,373,373,356,356,snapshot_2026_05_04.json,snapshot_2026_05_03.json
20,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,16,16,827,827,811,811,snapshot_2026_05_04.json,snapshot_2026_05_03.json
21,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,15,15,1359,1359,1344,1344,snapshot_2026_05_04.json,snapshot_2026_05_03.json
22,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,14,14,716,716,702,702,snapshot_2026_05_04.json,snapshot_2026_05_03.json
23,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,14,14,146,146,132,132,snapshot_2026_05_04.json,snapshot_2026_05_03.json
24,map,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,13,13,438,438,425,425,snapshot_2026_05_04.json,snapshot_2026_05_03.json
25,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,12,12,931,931,919,919,snapshot_2026_05_04.json,snapshot_2026_05_03.json
26,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,12,12,781,781,769,769,snapshot_2026_05_04.json,snapshot_2026_05_03.json
27,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,12,12,69,69,57,57,snapshot_2026_05_04.json,snapshot_2026_05_03.json
28,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,11,11,649,649,638,638,snapshot_2026_05_04.json,snapshot_2026_05_03.json
29,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,11,11,399,399,388,388,snapshot_2026_05_04.json,snapshot_2026_05_03.json
30,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,11,11,296,296,285,285,snapshot_2026_05_04.json,snapshot_2026_05_03.json
31,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,10,10,728,728,718,718,snapshot_2026_05_04.json,snapshot_2026_05_03.json
32,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,10,10,491,491,481,481,snapshot_2026_05_04.json,snapshot_2026_05_03.json
33,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,10,10,403,403,393,393,snapshot_2026_05_04.json,snapshot_2026_05_03.json
34,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,10,10,199,199,189,189,snapshot_2026_05_04.json,snapshot_2026_05_03.json
35,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,1144,1144,1135,1135,snapshot_2026_05_04.json,snapshot_2026_05_03.json
36,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,9,9,710,710,701,701,snapshot_2026_05_04.json,snapshot_2026_05_03.json
37,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,9,9,634,634,625,625,snapshot_2026_05_04.json,snapshot_2026_05_03.json
38,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,9,9,632,632,623,623,snapshot_2026_05_04.json,snapshot_2026_05_03.json
39,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,9,9,378,378,369,369,snapshot_2026_05_04.json,snapshot_2026_05_03.json
40,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,9,9,141,141,132,132,snapshot_2026_05_04.json,snapshot_2026_05_03.json
41,map,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,9,9,106,106,97,97,snapshot_2026_05_04.json,snapshot_2026_05_03.json
42,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,91,91,82,82,snapshot_2026_05_04.json,snapshot_2026_05_03.json
43,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,8,8,898,898,890,890,snapshot_2026_05_04.json,snapshot_2026_05_03.json
44,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,8,8,794,794,786,786,snapshot_2026_05_04.json,snapshot_2026_05_03.json
45,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,8,8,605,605,597,597,snapshot_2026_05_04.json,snapshot_2026_05_03.json
46,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,8,8,335,335,327,327,snapshot_2026_05_04.json,snapshot_2026_05_03.json
47,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,7,7,216,216,209,209,snapshot_2026_05_04.json,snapshot_2026_05_03.json
