rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,259,259,2821,2821,2562,2562,snapshot_2026_06_24.json,snapshot_2026_06_21.json
2,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,164,164,1579,1579,1415,1415,snapshot_2026_06_24.json,snapshot_2026_06_21.json
3,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,135,135,7770,7770,7635,7635,snapshot_2026_06_24.json,snapshot_2026_06_21.json
4,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,118,118,193,193,75,75,snapshot_2026_06_24.json,snapshot_2026_06_21.json
5,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,111,111,719,719,608,608,snapshot_2026_06_24.json,snapshot_2026_06_21.json
6,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,110,110,1769,1769,1659,1659,snapshot_2026_06_24.json,snapshot_2026_06_21.json
7,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,60,60,1555,1555,1495,1495,snapshot_2026_06_24.json,snapshot_2026_06_21.json
8,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,58,58,2817,2817,2759,2759,snapshot_2026_06_24.json,snapshot_2026_06_21.json
9,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,58,58,1043,1043,985,985,snapshot_2026_06_24.json,snapshot_2026_06_21.json
10,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,55,55,860,860,805,805,snapshot_2026_06_24.json,snapshot_2026_06_21.json
11,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,54,54,2749,2749,2695,2695,snapshot_2026_06_24.json,snapshot_2026_06_21.json
12,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,48,48,312,312,264,264,snapshot_2026_06_24.json,snapshot_2026_06_21.json
13,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,42,42,309,309,267,267,snapshot_2026_06_24.json,snapshot_2026_06_21.json
14,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,41,41,2244,2244,2203,2203,snapshot_2026_06_24.json,snapshot_2026_06_21.json
15,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,39,39,837,837,798,798,snapshot_2026_06_24.json,snapshot_2026_06_21.json
16,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,36,36,2015,2015,1979,1979,snapshot_2026_06_24.json,snapshot_2026_06_21.json
17,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,35,35,1801,1801,1766,1766,snapshot_2026_06_24.json,snapshot_2026_06_21.json
18,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,35,35,997,997,962,962,snapshot_2026_06_24.json,snapshot_2026_06_21.json
19,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,31,31,1893,1893,1862,1862,snapshot_2026_06_24.json,snapshot_2026_06_21.json
