rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,21,851,851,2538,2538,1687,1687,snapshot_2026_05_25.json,snapshot_2026_05_18.json
2,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,32,660,663,9139,9124,8479,8461,snapshot_2026_05_25.json,snapshot_2026_05_18.json
3,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,482,482,4975,4975,4493,4493,snapshot_2026_05_25.json,snapshot_2026_05_18.json
4,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,276,276,474,474,198,198,snapshot_2026_05_25.json,snapshot_2026_05_18.json
5,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,236,236,6700,6700,6464,6464,snapshot_2026_05_25.json,snapshot_2026_05_18.json
6,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,218,218,5342,5342,5124,5124,snapshot_2026_05_25.json,snapshot_2026_05_18.json
7,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,213,213,213,213,0,0,snapshot_2026_05_25.json,snapshot_2026_05_18.json
8,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,198,198,6532,6532,6334,6334,snapshot_2026_05_25.json,snapshot_2026_05_18.json
9,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,148,148,148,148,0,0,snapshot_2026_05_25.json,snapshot_2026_05_18.json
10,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,140,140,1732,1732,1592,1592,snapshot_2026_05_25.json,snapshot_2026_05_18.json
