rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,1,412,412,1670,1670,1258,1258,snapshot_2026_04_02.json,snapshot_2026_03_30.json
2,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,350,350,1105,1105,755,755,snapshot_2026_04_02.json,snapshot_2026_03_30.json
3,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://github.com/ahkimn,21,278,265,2201,2188,1923,1923,snapshot_2026_04_02.json,snapshot_2026_03_30.json
4,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,4,219,219,219,219,0,0,snapshot_2026_04_02.json,snapshot_2026_03_30.json
5,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,215,215,2512,2512,2297,2297,snapshot_2026_04_02.json,snapshot_2026_03_30.json
6,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,196,196,626,626,430,430,snapshot_2026_04_02.json,snapshot_2026_03_30.json
7,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,16,147,175,1293,1233,1146,1058,snapshot_2026_04_02.json,snapshot_2026_03_30.json
8,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,126,126,555,555,429,429,snapshot_2026_04_02.json,snapshot_2026_03_30.json
9,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,109,106,812,809,703,703,snapshot_2026_04_02.json,snapshot_2026_03_30.json
10,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,104,104,611,611,507,507,snapshot_2026_04_02.json,snapshot_2026_03_30.json
11,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,97,97,522,522,425,425,snapshot_2026_04_02.json,snapshot_2026_03_30.json
12,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,93,93,306,306,213,213,snapshot_2026_04_02.json,snapshot_2026_03_30.json
13,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,5,92,105,685,522,593,417,snapshot_2026_04_02.json,snapshot_2026_03_30.json
14,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,92,92,234,234,142,142,snapshot_2026_04_02.json,snapshot_2026_03_30.json
15,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://github.com/ahkimn,1,66,66,484,484,418,418,snapshot_2026_04_02.json,snapshot_2026_03_30.json
16,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,62,62,446,446,384,384,snapshot_2026_04_02.json,snapshot_2026_03_30.json
17,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,53,53,214,214,161,161,snapshot_2026_04_02.json,snapshot_2026_03_30.json
18,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,40,40,195,195,155,155,snapshot_2026_04_02.json,snapshot_2026_03_30.json
19,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,34,34,34,34,0,0,snapshot_2026_04_02.json,snapshot_2026_03_30.json
20,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,27,27,302,302,275,275,snapshot_2026_04_02.json,snapshot_2026_03_30.json
21,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,26,26,348,348,322,322,snapshot_2026_04_02.json,snapshot_2026_03_30.json
22,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,20,18,259,257,239,239,snapshot_2026_04_02.json,snapshot_2026_03_30.json
23,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,18,18,70,70,52,52,snapshot_2026_04_02.json,snapshot_2026_03_30.json
24,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,16,16,16,16,0,0,snapshot_2026_04_02.json,snapshot_2026_03_30.json
25,pswbsf/dayton-oh,dayton-oh,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,14,14,14,14,0,0,snapshot_2026_04_02.json,snapshot_2026_03_30.json
26,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,10,10,31,31,21,21,snapshot_2026_04_02.json,snapshot_2026_03_30.json
27,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,8,8,8,8,0,0,snapshot_2026_04_02.json,snapshot_2026_03_30.json
28,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,muffintime,https://github.com/crumpetime,1,5,-16,109,88,104,104,snapshot_2026_04_02.json,snapshot_2026_03_30.json
29,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,muffintime,https://github.com/crumpetime,1,5,-21,90,64,85,85,snapshot_2026_04_02.json,snapshot_2026_03_30.json
30,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,4,-16,126,106,122,122,snapshot_2026_04_02.json,snapshot_2026_03_30.json
31,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,4,-18,96,74,92,92,snapshot_2026_04_02.json,snapshot_2026_03_30.json
32,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,4,-13,57,40,53,53,snapshot_2026_04_02.json,snapshot_2026_03_30.json
33,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,3,-17,115,95,112,112,snapshot_2026_04_02.json,snapshot_2026_03_30.json
34,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,2,-23,74,49,72,72,snapshot_2026_04_02.json,snapshot_2026_03_30.json
35,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,2,-24,73,47,71,71,snapshot_2026_04_02.json,snapshot_2026_03_30.json
36,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,naz,https://github.com/nzh0172,1,2,-5,68,61,66,66,snapshot_2026_04_02.json,snapshot_2026_03_30.json
37,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,2,-25,61,34,59,59,snapshot_2026_04_02.json,snapshot_2026_03_30.json
38,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,2,-23,52,27,50,50,snapshot_2026_04_02.json,snapshot_2026_03_30.json
39,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,1,-20,82,61,81,81,snapshot_2026_04_02.json,snapshot_2026_03_30.json
40,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,-23,59,35,58,58,snapshot_2026_04_02.json,snapshot_2026_03_30.json
41,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,muffintime,https://github.com/crumpetime,1,0,-24,55,31,55,55,snapshot_2026_04_02.json,snapshot_2026_03_30.json
42,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,0,0,0,0,0,snapshot_2026_04_02.json,snapshot_2026_03_30.json
43,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,0,0,0,0,snapshot_2026_04_02.json,snapshot_2026_03_30.json
